;Types
NOVA_MEMREF
NOVA_OP
NOVA_IO
NOVA_MATH
NOVA_PC
ECLIPSE_MEMREF
ECLIPSE_OP
ECLIPSE_PC
ECLIPSE_STACK
EAGLE_IO
EAGLE_PC
EAGLE_OP
EAGLE_MEMREF
EAGLE_STACK
EAGLE_FPU
;
;Formats
DERR_FMT
IMM_MODE_2_WORD_FMT
IMM_ONEACC_FMT
IO_FLAGS_DEV_FMT
IO_TEST_DEV_FMT
LNDO_4_WORD_FMT
NOACC_MODE_2_WORD_FMT
NOACC_MODE_3_WORD_FMT
NOACC_MODE_IMM_IND_3_WORD_FMT
NOACC_MODE_IND_2_WORD_E_FMT
NOACC_MODE_IND_2_WORD_X_FMT
NOACC_MODE_IND_3_WORD_FMT
NOACC_MODE_IND_3_WORD_XCALL_FMT
NOACC_MODE_IND_4_WORD_FMT
NOVA_DATA_IO_FMT
NOVA_NOACC_EFF_ADDR_FMT
NOVA_ONEACC_EFF_ADDR_FMT
NOVA_TWOACC_MULT_OP_FMT
ONEACC_IMM_2_WORD_FMT
ONEACC_IMMWD_2_WORD_FMT
ONEACC_IMM_3_WORD_FMT
ONEACC_IMMDWD_3_WORD_FMT
ONEACC_MODE_2_WORD_E_FMT
ONEACC_MODE_2_WORD_X_B_FMT
ONEACC_MODE_3_WORD_FMT
ONEACC_MODE_IND_2_WORD_E_FMT
ONEACC_MODE_IND_2_WORD_X_FMT
ONEACC_MODE_IND_3_WORD_FMT
ONEACC_1_WORD_FMT
UNIQUE_1_WORD_FMT
UNIQUE_2_WORD_FMT
SPLIT_8BIT_DISP_FMT
THREE_WORD_DO_FMT
TWOACC_1_WORD_FMT
TWOACC_IMM_2_WORD_FMT
WSKB_FMT
;
;Instructions
ADC,0x8400,0x8700,1,NOVA_TWOACC_MULT_OP_FMT,NOVA_OP,0
ADD,0x8600,0x8700,1,NOVA_TWOACC_MULT_OP_FMT,NOVA_OP,0
ADDI,0xe7f8,0xe7ff,2,ONEACC_IMM_2_WORD_FMT,ECLIPSE_OP,0
ADI,0x8008,0x87ff,1,IMM_ONEACC_FMT,ECLIPSE_OP,0
ANC,0x8188,0x87ff,1,TWOACC_1_WORD_FMT,ECLIPSE_OP,0
AND,0x8700,0x8700,1,NOVA_TWOACC_MULT_OP_FMT,NOVA_OP,0
ANDI,0xc7f8,0xe7ff,2,ONEACC_IMMWD_2_WORD_FMT,ECLIPSE_OP,0
BAM,0x97c8,0xffff,1,UNIQUE_1_WORD_FMT,ECLIPSE_MEMREF,0
BKPT,0xc789,0xffff,1,UNIQUE_1_WORD_FMT,EAGLE_PC,0
BLM,0xb7c8,0xffff,1,UNIQUE_1_WORD_FMT,ECLIPSE_MEMREF,0
BTO,0x8408,0x87ff,1,TWOACC_1_WORD_FMT,ECLIPSE_OP,0
BTZ,0x8448,0x87ff,1,TWOACC_1_WORD_FMT,ECLIPSE_OP,0
CIO,0x85e9,0x87ff,1,TWOACC_1_WORD_FMT,EAGLE_IO,0
CIOI,0x85f9,0x87ff,2,TWOACC_IMM_2_WORD_FMT,EAGLE_IO,0
CLM,0x84f8,0x87ff,1,TWOACC_1_WORD_FMT,ECLIPSE_PC,0
CMP,0xdfa8,0xffff,1,UNIQUE_1_WORD_FMT,ECLIPSE_MEMREF,0
CMT,0xefa8,0xffff,1,UNIQUE_1_WORD_FMT,ECLIPSE_MEMREF,0
CMV,0xd7a8,0xffff,1,UNIQUE_1_WORD_FMT,ECLIPSE_MEMREF,0
