; Transcription of 097-000023-02_NOVA800_Logic-Test_1971.pdf
; Location,Contents
0,0
1,0
2,063077
3,2
45,50
50,0
51,0
52,0
53,0
54,54
55,0
56,56
57,177777
60,60
61,1
62,62
63,100000
64,040000
65,020000
66,010000
67,004000
70,002000
71,001000
72,000400
73,000200
74,000100
75,000040
76,000020
77,000010
100,4
101,2
102,3
103,7
104,17
105,37
106,77
107,177
110,377
111,777
112,1777
113,3777
114,7777
115,17777
116,37777
117,77777
120,177777
121,77777
122,137777
123,157777
124,167777
125,173777
126,175777
127,176777
130,177377
131,177577
132,177677
133,177737
134,177757
135,177767
136,177773
137,177775
140,177776
141,152525
142,025252
143,0
144,61
145,0
146,100143
147,177775
150,0
151,140000
152,160000
153,170000
154,174000
155,176000
156,177000
157,177400
160,177600
161,177700
162,177740
163,177760
164,177770
165,177774
166,177776
167,177777
170,0
374,2375
375,2442
376,402
377,63077
400,101001
401,63077
402,101000
403,101001
404,63077
405,101043
406,63077
407,101022
410,63077
411,101042
412,101001
413,63077
414,101023
415,101001
416,63077
417,101040
420,101003
421,63077
422,101020
423,101002
424,63077
425,101040
426,101062
427,63077
430,101020
431,101063
432,63077
433,101040
434,101033
435,101003
436,63077
437,101020
440,101052
441,101002
442,63077
443,101040
444,101073
445,101062
446,63077
447,101020
450,101072
451,101063
452,63077
453,20055
454,101004
455,63077
456,20055
457,101005
460,101004
461,63077
462,20063
463,101004
464,101005
465,63077
466,20064
467,101004
470,101005
471,63077
472,20065
473,101004
474,101005
475,63077
476,20066
477,101004
500,101005
501,63077
502,20067
503,101004
504,101005
505,63077
506,20070
507,101004
510,101005
511,63077
512,20071
513,101004
514,101005
515,63007
516,20072
517,101004
520,101005
521,63077
522,20073
523,101004
524,101005
525,63077
526,20074
527,101004
530,101005
531,63077
532,20075
533,101004
534,101005
535,63077
536,20076
537,101004
540,101005
541,63077
542,20077
543,101004
544,101005
545,63077
546,20100
547,101004
550,101005
551,63077
552,20101
553,101004
554,101005
555,63077
556,20061
557,101004
560,101005
561,63077
562,20055
563,24064
564,30065
565,34066
566,101004
567,63077
